MainIsland,Region,Province,LegislativeDistrict,Municipality,DistrictEngineeringOffice,ProjectId,TypeOfWork,FundingYear,ContractId, ApprovedBudgetFor , ContractCost ,ActualCompletionDate,Contractor1,Contractor2,Contractor3,ContractorCount,StartDate,ProvincialCapital
Luzon,National Capital Region,Metro Manila,Pasay City (Legislative District),Pasay City (Metropolitan Manila),South Manila District Engineering Office,P00839538LZ,Construction of Slope Protection Structure,2024,24OH0015," ?19,799,821.65 "," ?19,572,165.42 ",7/15/2024,Ale Builders Construction And Development Corp.,,,1,2/20/2024,City of Manila
Luzon,National Capital Region,Metro Manila,Pasay City (Legislative District),Pasay City (Metropolitan Manila),South Manila District Engineering Office,P00820018LZ,Construction of Flood Mitigation Structure,2024,24OH0040," ?89,171,966.73 "," ?89,071,419.94 ",10/22/2024,Amethyst Horizon Builders And Gen. Contractor And Development Corp.,,,1,2/21/2024,City of Manila
Luzon,National Capital Region,Metro Manila,Pasay City (Legislative District),Pasay City (Metropolitan Manila),South Manila District Engineering Office,P00820019LZ,Construction of Flood Mitigation Structure,2024,24OH0041," ?89,172,016.01 "," ?89,057,544.20 ",11/11/2024,Elite General Contractor And Development Corp.,,,1,2/21/2024,City of Manila
Luzon,National Capital Region,Metro Manila,Pasay City (Legislative District),Pasay City (Metropolitan Manila),South Manila District Engineering Office,P00845880LZ,Construction of Drainage Structure,2024,24OH0064," ?4,948,831.08 "," ?4,809,909.62 ",9/11/2024,Slhav Construction,,,1,4/11/2024,City of Manila
Luzon,National Capital Region,Metro Manila,Pasay City (Legislative District),Pasay City (Metropolitan Manila),South Manila District Engineering Office,P00843173LZ,Construction of Flood Mitigation Structure,2024,24OH0087," ?96,499,999.79 "," ?96,395,644.88 ",11/19/2024,Hi-Tone Construction & Development Corp. (Formerly , Fs Co Builders And Supply,,2,5/6/2024,City of Manila
Luzon,National Capital Region,Metro Manila,Pasay City (Legislative District),Pasay City (Metropolitan Manila),South Manila District Engineering Office,P00843174LZ,Construction of Flood Mitigation Structure,2024,24OH0088," ?96,499,999.03 "," ?96,400,267.28 ",11/19/2024,Hi-Tone Construction & Development Corp. (Formerly , Fs Co Builders And Supply,,2,5/6/2024,City of Manila
Luzon,National Capital Region,Metro Manila,Pasay City (Legislative District),Pasay City (Metropolitan Manila),South Manila District Engineering Office,P00843177LZ,Rehabilitation / Major Repair of Drainage Structure,2024,24OH0074," ?96,499,998.21 "," ?96,393,504.48 ",12/2/2024,Fs Co Builders And Supply,,,1,5/6/2024,City of Manila
Luzon,National Capital Region,Metro Manila,Pasay City (Legislative District),Pasay City (Metropolitan Manila),South Manila District Engineering Office,P00843178LZ,Rehabilitation / Major Repair of Drainage Structure,2024,24OH0085," ?96,499,998.29 "," ?96,399,674.94 ",1/30/2025,Hi-Tone Construction & Development Corp. (Formerly , Fs Co Builders And Supply,,2,5/6/2024,City of Manila
Luzon,National Capital Region,Metro Manila,Manila City (Fifth Legislative District),City Of Manila (Metropolitan Manila),South Manila District Engineering Office,P00620066LZ,Construction of Drainage Structure,2022,22OH0023," ?77,200,000.00 "," ?77,065,181.98 ",1/13/2023,"Triple 8 Construction & Supply, Inc. (Formerly Triple 8 Const. & Supply)",,,1,2/28/2022,City of Manila
Luzon,National Capital Region,Metro Manila,Manila City (Fifth Legislative District),City Of Manila (Metropolitan Manila),South Manila District Engineering Office,P00620067LZ,Construction of Drainage Structure,2022,22OH0019," ?77,200,000.00 "," ?77,169,300.35 ",8/30/2022,"Triple 8 Construction & Supply, Inc. (Formerly Triple 8 Const. & Supply)",,,1,2/28/2022,City of Manila
Luzon,National Capital Region,Metro Manila,Manila City (Fifth Legislative District),City Of Manila (Metropolitan Manila),South Manila District Engineering Office,P00620068LZ,Construction of Drainage Structure,2022,22OH0021," ?51,225,094.97 "," ?51,209,204.28 ",10/4/2022,N.M.E. Construction,,,1,2/28/2022,City of Manila
Luzon,National Capital Region,Metro Manila,Manila City (Fifth Legislative District),City Of Manila (Metropolitan Manila),South Manila District Engineering Office,P00726795LZ,Construction of Flood Mitigation Structure,2023,23OH0046," ?48,249,544.03 "," ?48,240,996.26 ",4/15/2024,Ale Builders Construction And Development Corp.,,,1,4/20/2023,City of Manila
Luzon,National Capital Region,Metro Manila,Manila City (Fifth Legislative District),City Of Manila (Metropolitan Manila),South Manila District Engineering Office,P00726793LZ,Construction of Flood Mitigation Structure,2023,23OH0050," ?96,499,994.70 "," ?96,495,753.94 ",12/4/2023,St. Timothy Construction Corporation , Alrie Construction Services,,2,4/24/2023,City of Manila
Luzon,National Capital Region,Metro Manila,Manila City (Fifth Legislative District),City Of Manila (Metropolitan Manila),South Manila District Engineering Office,P00726794LZ,Construction of Flood Mitigation Structure,2023,23OH0051," ?96,499,987.75 "," ?96,495,833.14 ",3/11/2024,G.F. Fabian Construction,,,1,4/24/2023,City of Manila
Luzon,National Capital Region,Metro Manila,Manila City (Fifth Legislative District),City Of Manila (Metropolitan Manila),South Manila District Engineering Office,P00727041LZ,Rehabilitation / Major Repair of Flood Mitigation Facility,2023,23OH0056," ?24,499,419.95 "," ?24,412,468.58 ",12/22/2023,Jmk Builders Construction,,,1,4/24/2023,City of Manila
Luzon,National Capital Region,Metro Manila,Manila City (Fifth Legislative District),City Of Manila (Metropolitan Manila),South Manila District Engineering Office,P00740511LZ,Rehabilitation / Major Repair of Drainage Structure,2023,23OH0062," ?48,997,520.46 "," ?48,361,055.97 ",6/30/2024,Amethyst Horizon Builders And Gen. Contractor And Development Corp.,,,1,5/17/2023,City of Manila
Luzon,National Capital Region,Metro Manila,Manila City (Fifth Legislative District),City Of Manila (Metropolitan Manila),South Manila District Engineering Office,P00820095LZ,Rehabilitation / Major Repair of Flood Mitigation Facility,2024,24OH0025," ?96,497,130.68 "," ?96,492,658.53 ",8/17/2024,Eight J'S Construction Services,,,1,2/20/2024,City of Manila
Luzon,National Capital Region,Metro Manila,Manila City (Fifth Legislative District),City Of Manila (Metropolitan Manila),South Manila District Engineering Office,P00820096LZ,Rehabilitation / Major Repair of Flood Mitigation Facility,2024,24OH0045," ?96,499,274.78 "," ?96,490,816.38 ",9/17/2024,Eight J'S Construction Services,,,1,2/21/2024,City of Manila
Luzon,National Capital Region,Metro Manila,Manila City (Fifth Legislative District),City Of Manila (Metropolitan Manila),South Manila District Engineering Office,P00820656LZ,Construction of Flood Mitigation Structure,2024,24OH0033," ?29,399,708.96 "," ?29,395,548.76 ",1/13/2025,1129 Builders,,,1,2/21/2024,City of Manila
Luzon,National Capital Region,Metro Manila,Manila City (Fifth Legislative District),City Of Manila (Metropolitan Manila),South Manila District Engineering Office,P00820060LZ,Construction of Flood Mitigation Facility,2024,24OH0051," ?96,499,885.03 "," ?96,490,182.48 ",9/8/2024,Eight J'S Construction Services , Jim And Jem Construction Services,,2,3/13/2024,City of Manila
Luzon,National Capital Region,Metro Manila,Manila City (Fifth Legislative District),City Of Manila (Metropolitan Manila),South Manila District Engineering Office,P00823254LZ,Construction of Slope Protection Structure,2024,24OH0047," ?96,499,859.80 "," ?96,497,829.67 ",10/7/2024,Caana Construction Corporation,,,1,5/27/2024,City of Manila
Luzon,National Capital Region,Metro Manila,City Of Muntinlupa (Legislative District),City Of Las Piã‘As (Metropolitan Manila),Las PiÃ±as-Muntinlupa District Engineering Office,P00632701LZ,Construction of Drainage Structure,2022,22OI0048," ?14,699,980.22 "," ?14,698,980.22 ",12/18/2022,Rfsm Construction Corporation,,,1,3/4/2022,City of Manila
Luzon,National Capital Region,Metro Manila,Manila City (Second Legislative District),,North Manila District Engineering Office,P00525817LZ,Construction of Flood Mitigation Structure,2021,21OE0047," ?19,599,263.46 "," ?19,567,913.35 ",10/21/2022,1Hb Construction Corp. (Formerly: Hb Construction),,,1,3/29/2022,City of Manila
Luzon,National Capital Region,Metro Manila,Manila City (First Legislative District),,North Manila District Engineering Office,P00525820LZ,Construction of Flood Mitigation Facility,2021,21OE0021," ?48,999,936.11 "," ?48,403,077.09 ",5/30/2023,Alpha & Omega Gen. Contractor & Development Corp.,,,1,3/30/2022,City of Manila
Luzon,National Capital Region,Metro Manila,Caloocan City (Third Legislative District),Caloocan City (Metropolitan Manila),Metro Manila 3rd District Engineering Office,P00740300LZ,Construction of Flood Mitigation Structure,2023,23OD0138," ?96,473,103.47 "," ?94,021,597.95 ",12/12/2023,Amethyst Horizon Builders And Gen. Contractor And Development Corp.,,,1,4/24/2023,City of Manila
Luzon,National Capital Region,Metro Manila,Caloocan City (Third Legislative District),Caloocan City (Metropolitan Manila),Metro Manila 3rd District Engineering Office,P00740301LZ,Construction of Flood Mitigation Structure,2023,23OD0139," ?96,478,557.39 "," ?93,966,981.03 ",12/26/2023,Elite General Contractor And Development Corp.,,,1,4/24/2023,City of Manila
Luzon,National Capital Region,Metro Manila,Caloocan City (Third Legislative District),Caloocan City (Metropolitan Manila),Metro Manila 3rd District Engineering Office,P00727015LZ,Construction of Flood Mitigation Structure,2023,23OD0201," ?24,495,955.56 "," ?23,952,759.89 ",11/27/2023,Calcon Engineering,,,1,5/19/2023,City of Manila
Luzon,National Capital Region,Metro Manila,Caloocan City (Third Legislative District),Caloocan City (Metropolitan Manila),Metro Manila 3rd District Engineering Office,P00727016LZ,Construction of Flood Mitigation Structure,2023,23OD0202," ?24,491,368.45 "," ?23,947,575.30 ",12/25/2023,Avecs Corporation,,,1,5/19/2023,City of Manila
Luzon,National Capital Region,Metro Manila,Caloocan City (Third Legislative District),Caloocan City (Metropolitan Manila),Metro Manila 3rd District Engineering Office,P00727013LZ,Construction of Flood Mitigation Structure,2023,23OD0214," ?48,989,301.01 "," ?47,813,558.33 ",12/27/2023,Jagonbuild Construction Corp. (For. Jagon Builders,,,1,6/7/2023,City of Manila
Luzon,National Capital Region,Metro Manila,Caloocan City (Third Legislative District),Caloocan City (Metropolitan Manila),Metro Manila 3rd District Engineering Office,P00727014LZ,Construction of Flood Mitigation Structure,2023,23OD0215," ?48,994,208.21 "," ?47,842,662.41 ",11/6/2023,Im Construction Corporation,,,1,6/7/2023,City of Manila
Luzon,National Capital Region,Metro Manila,Caloocan City (Third Legislative District),Caloocan City (Metropolitan Manila),Metro Manila 3rd District Engineering Office,P00727017LZ,Construction of Drainage Structure,2023,23OD0200," ?29,397,260.86 "," ?28,732,995.01 ",12/27/2023,Mighty Construction & Development Inc.,,,1,6/19/2023,City of Manila
Luzon,National Capital Region,Metro Manila,Caloocan City (Third Legislative District),Caloocan City (Metropolitan Manila),Metro Manila 3rd District Engineering Office,P00820003LZ,Construction of Flood Mitigation Structure,2024,24OD0022," ?86,837,659.61 "," ?84,662,805.54 ",10/1/2024,Im Construction Corporation,,,1,2/14/2024,City of Manila
Luzon,National Capital Region,Metro Manila,Caloocan City (Third Legislative District),Caloocan City (Metropolitan Manila),Metro Manila 3rd District Engineering Office,P00820004LZ,Construction of Flood Mitigation Structure,2024,24OD0036," ?86,847,008.51 "," ?84,637,889.92 ",10/1/2024,Jagonbuild Construction Corp. (For. Jagon Builders,,,1,2/14/2024,City of Manila
Luzon,National Capital Region,Metro Manila,Caloocan City (Third Legislative District),Caloocan City (Metropolitan Manila),Metro Manila 3rd District Engineering Office,P00838474LZ,Construction of Flood Mitigation Structure,2024,24OD0181," ?48,996,694.37 "," ?47,851,161.52 ",11/18/2024,Diadema Construction And Enterprises Inc. (Formerly: Diadema Enterprises),,,1,3/26/2024,City of Manila
Luzon,National Capital Region,Metro Manila,Caloocan City (Third Legislative District),Caloocan City (Metropolitan Manila),Metro Manila 3rd District Engineering Office,P00844680LZ,Construction of Flood Mitigation Structure,2024,24OD0195," ?29,388,151.14 "," ?28,800,369.30 ",11/17/2024,Diadema Construction And Enterprises Inc. (Formerly: Diadema Enterprises),,,1,3/26/2024,City of Manila
Luzon,National Capital Region,Metro Manila,Taguig City (First Legislative District),Pateros (Metropolitan Manila),Metro Manila 1st District Engineering Office,P00821428LZ,Construction of Slope Protection Structure,2024,24OB0166," ?48,999,690.81 "," ?48,000,133.62 ",8/9/2024,Zyre Trading And Construction,,,1,2/12/2024,City of Manila
Luzon,National Capital Region,Metro Manila,Taguig City (First Legislative District),Pateros (Metropolitan Manila),Metro Manila 1st District Engineering Office,P00821429LZ,Construction of Slope Protection Structure,2024,24OB0167," ?48,999,736.94 "," ?47,995,260.28 ",10/8/2024,Zyre Trading And Construction,,,1,2/12/2024,City of Manila
Luzon,National Capital Region,Metro Manila,Taguig City (First Legislative District),Pateros (Metropolitan Manila),Metro Manila 1st District Engineering Office,P00821430LZ,Construction of Slope Protection Structure,2024,24OB0168," ?48,999,972.86 "," ?47,990,581.97 ",8/9/2024,Tuchar Construction Corp. (Formerly:Tuchar Constru,,,1,2/12/2024,City of Manila
Luzon,National Capital Region,Metro Manila,Taguig City (First Legislative District),Pateros (Metropolitan Manila),Metro Manila 1st District Engineering Office,P00821431LZ,Construction of Slope Protection Structure,2024,24OB0169," ?48,999,793.04 "," ?48,005,142.75 ",8/9/2024,Elite General Contractor And Development Corp.,,,1,2/12/2024,City of Manila
Luzon,National Capital Region,Metro Manila,Taguig City (First Legislative District),Pateros (Metropolitan Manila),Metro Manila 1st District Engineering Office,P00821052LZ,Construction of Slope Protection Structure,2024,24OB0174," ?72,374,844.34 "," ?70,920,109.96 ",6/17/2024,Hony Trading & Construction,,,1,2/13/2024,City of Manila
Luzon,National Capital Region,Metro Manila,Taguig City (First Legislative District),Pateros (Metropolitan Manila),Metro Manila 1st District Engineering Office,P00821053LZ,Construction of Slope Protection Structure,2024,24OB0175," ?72,374,953.00 "," ?70,927,030.30 ",6/25/2024,Amethyst Horizon Builders And Gen. Contractor And Development Corp.,,,1,2/13/2024,City of Manila
Luzon,National Capital Region,Metro Manila,Taguig City (First Legislative District),Pateros (Metropolitan Manila),Metro Manila 1st District Engineering Office,P00821055LZ,Construction of Slope Protection Structure,2024,24OB0177," ?72,374,544.08 "," ?70,920,498.20 ",8/26/2024,Elite General Contractor And Development Corp.,,,1,2/13/2024,City of Manila
Luzon,National Capital Region,Metro Manila,Taguig City (First Legislative District),Pateros (Metropolitan Manila),Metro Manila 1st District Engineering Office,P00821056LZ,Construction of Slope Protection Structure,2024,24OB0178," ?72,374,705.15 "," ?70,927,211.05 ",6/25/2024,Ebuilders Construction & Development Corp.,,,1,2/13/2024,City of Manila
Luzon,National Capital Region,Metro Manila,Taguig City (First Legislative District),Pateros (Metropolitan Manila),Metro Manila 1st District Engineering Office,P00821057LZ,Construction of Slope Protection Structure,2024,24OB0179," ?72,374,921.71 "," ?70,927,423.27 ",8/26/2024,Elite General Contractor And Development Corp.,,,1,2/13/2024,City of Manila
Luzon,National Capital Region,Metro Manila,Taguig City (First Legislative District),Pateros (Metropolitan Manila),Metro Manila 1st District Engineering Office,P00821058LZ,Construction of Slope Protection Structure,2024,24OB0180," ?72,374,571.93 "," ?70,890,893.20 ",9/9/2024,"B. Bernardo Const., Inc.",,,1,2/13/2024,City of Manila
Luzon,National Capital Region,Metro Manila,Taguig City (First Legislative District),Pateros (Metropolitan Manila),Metro Manila 1st District Engineering Office,P00821059LZ,Construction of Slope Protection Structure,2024,24OB0181," ?72,374,128.85 "," ?70,926,646.27 ",8/16/2024,Dahl Construction Corp. (Formerly: Dahl Construction),,,1,2/13/2024,City of Manila
Luzon,National Capital Region,Metro Manila,Taguig City (First Legislative District),Pateros (Metropolitan Manila),Metro Manila 1st District Engineering Office,P00845865LZ,Construction of Slope Protection Structure,2024,24OB0158," ?49,499,955.34 "," ?48,485,215.11 ",11/15/2024,Zyre Trading And Construction,,,1,4/1/2024,City of Manila
Luzon,National Capital Region,Metro Manila,Taguig City (First Legislative District),Pateros (Metropolitan Manila),Metro Manila 1st District Engineering Office,P00825200LZ,Construction of Drainage Structure,2024,24OB0160," ?6,859,666.21 "," ?6,653,876.22 ",2/1/2025,B. Valencerina Trading & Construction,,,1,4/8/2024,City of Manila
Luzon,Region I,La Union,La Union (Second Legislative District),,La Union 2nd District Engineering Office,P00561633LZ,Construction of Slope Protection Structure,2021,21AF0008," ?9,899,995.88 "," ?9,502,019.10 ",8/1/2022,E.E. Madayag Construction,,,1,3/3/2021,San Fernando City
Luzon,Region I,La Union,La Union (Second Legislative District),,La Union 2nd District Engineering Office,P00525547LZ,Construction of Flood Mitigation Structure,2021,21AF0030,67549999.97,66702855.9,10/24/2022,Legacy Construction Corporation (Formerly: Legacy Construction),,,1,11/15/2021,San Fernando City
Luzon,Region I,La Union,La Union (First Legislative District),San Juan (La Union),La Union 1st District Engineering Office,P00620948LZ,Rehabilitation / Major Repair of Flood Control Structure,2022,22AE0023," ?48,019,927.13 "," ?48,020,000.00 ",7/28/2022,My Builders And Construction,,,1,2/11/2022,San Fernando City
Luzon,Region I,La Union,La Union (First Legislative District),San Juan (La Union),La Union 1st District Engineering Office,P00620941LZ,Construction of Flood Mitigation Structure,2022,22AE0059," ?19,086,476.65 "," ?19,085,370.20 ",7/22/2022,"J.A. Olivar Engineering Design, Construction And S",,,1,2/14/2022,San Fernando City
Luzon,Region I,La Union,La Union (First Legislative District),San Juan (La Union),La Union 1st District Engineering Office,P00621444LZ,Construction of Flood Mitigation Structure,2022,22AE0060," ?29,399,785.90 "," ?29,399,459.28 ",10/15/2022,"J.A. Olivar Engineering Design, Construction And S",,,1,3/28/2022,San Fernando City
Luzon,Region I,La Union,La Union (First Legislative District),San Juan (La Union),La Union 1st District Engineering Office,P00726637LZ,Rehabilitation / Major Repair of Flood Control Structure,2023,23AE0012," ?49,000,000.00 "," ?48,998,252.87 ",8/24/2023,My Builders And Construction,,,1,2/10/2023,San Fernando City
Luzon,Region I,La Union,La Union (First Legislative District),San Juan (La Union),La Union 1st District Engineering Office,P00726638LZ,Rehabilitation / Major Repair of Flood Control Structure,2023,23AE0013," ?48,999,975.90 "," ?48,998,880.40 ",8/30/2023,My Builders And Construction,,,1,2/14/2023,San Fernando City
Luzon,Region I,La Union,La Union (First Legislative District),San Juan (La Union),La Union 1st District Engineering Office,P00727085LZ,Rehabilitation / Major Repair of Flood Control Structure,2023,23AE0037," ?3,108,542.23 "," ?3,030,571.58 ",5/19/2023,"J.A. Olivar Engineering Design, Construction And S",,,1,3/10/2023,San Fernando City
Luzon,Region I,La Union,La Union (First Legislative District),San Juan (La Union),La Union 1st District Engineering Office,P00742273LZ,Construction of Flood Mitigation Structure,2023,23AE0061," ?9,900,000.00 "," ?9,898,955.58 ",12/15/2023,Fabro Construction,,,1,4/4/2023,San Fernando City
Luzon,Region I,La Union,La Union (First Legislative District),San Juan (La Union),La Union 1st District Engineering Office,P00742272LZ,Rehabilitation / Major Repair of Flood Control Structure,2023,23AE0036," ?5,939,999.14 "," ?5,839,670.96 ",7/17/2023,"J.A. Olivar Engineering Design, Construction And S",,,1,4/28/2023,San Fernando City
Luzon,Region I,La Union,La Union (First Legislative District),San Juan (La Union),La Union 1st District Engineering Office,P00824808LZ,Construction of Flood Mitigation Structure,2024,24A00279," ?154,400,000.00 "," ?154,399,985.85 ",4/15/2024,St. Gerrard Construction Gen. Contractor & Development Corp. (Formerly:St. Gerrard Construction),,,1,3/1/2024,San Fernando City
Luzon,Region I,La Union,La Union (First Legislative District),San Juan (La Union),La Union 1st District Engineering Office,P00824805LZ,Construction of Flood Mitigation Structure,2024,24A00277," ?154,400,000.00 "," ?154,399,997.44 ",11/11/2024,Balintugan Construction,,,1,3/7/2024,San Fernando City
Luzon,Region I,La Union,La Union (First Legislative District),San Juan (La Union),La Union 1st District Engineering Office,P00845900LZ,Construction of Drainage Structure,2024,24AE0078," ?4,949,920.57 "," ?4,949,472.50 ",1/24/2025,Ayana Construction And Trading,,,1,3/22/2024,San Fernando City
Luzon,Region I,La Union,La Union (Second Legislative District),Naguilian (La Union),La Union 2nd District Engineering Office,P00620951LZ,Construction of Flood Mitigation Structure,2022,22AF0002," ?46,059,971.10 "," ?45,147,870.90 ",11/27/2023,Villar General Construction And Supplies,,,1,2/16/2022,San Fernando City
Luzon,Region I,La Union,La Union (Second Legislative District),Naguilian (La Union),La Union 2nd District Engineering Office,P00620952LZ,Construction of Flood Mitigation Structure,2022,22AF0012," ?46,059,998.62 "," ?45,020,399.68 ",8/15/2022,Villar General Construction And Supplies,,,1,2/16/2022,San Fernando City
Luzon,Region I,La Union,La Union (Second Legislative District),Naguilian (La Union),La Union 2nd District Engineering Office,P00620953LZ,Construction of Flood Mitigation Structure,2022,22AF0001," ?46,059,995.61 "," ?45,075,785.10 ",8/22/2022,Villar General Construction And Supplies,,,1,2/16/2022,San Fernando City
Luzon,Region I,La Union,La Union (Second Legislative District),Naguilian (La Union),La Union 2nd District Engineering Office,P00631073LZ,Construction of Flood Mitigation Structure,2022,22AF0031," ?7,839,996.91 "," ?7,693,165.65 ",7/25/2022,E.E. Madayag Construction,,,1,2/22/2022,San Fernando City
Luzon,Region I,La Union,La Union (Second Legislative District),Naguilian (La Union),La Union 2nd District Engineering Office,P00631075LZ,Construction of Flood Mitigation Structure,2022,22AF0013," ?9,799,998.73 "," ?9,548,636.66 ",7/25/2022,E.E. Madayag Construction,,,1,2/22/2022,San Fernando City
Luzon,Region I,La Union,La Union (Second Legislative District),Naguilian (La Union),La Union 2nd District Engineering Office,P00821477LZ,Construction of Flood Mitigation Structure,2024,24AF0016," ?48,999,999.48 "," ?48,717,833.77 ",5/20/2024,Villar General Construction And Supplies,,,1,2/6/2024,San Fernando City
Luzon,Region I,La Union,La Union (Second Legislative District),Naguilian (La Union),La Union 2nd District Engineering Office,P00821478LZ,Construction of Flood Mitigation Structure,2024,24AF0014," ?48,999,992.02 "," ?48,740,182.59 ",5/20/2024,Villar General Construction And Supplies,,,1,2/6/2024,San Fernando City
Luzon,Region I,La Union,La Union (Second Legislative District),Naguilian (La Union),La Union 2nd District Engineering Office,P00824827LZ,Construction of Flood Mitigation Structure,2024,24AF0056," ?96,499,997.99 "," ?96,492,336.54 ",12/23/2024,Anore Construction,,,1,3/8/2024,San Fernando City
Luzon,Region I,La Union,La Union (Second Legislative District),Naguilian (La Union),La Union 2nd District Engineering Office,P00824828LZ,Construction of Flood Mitigation Structure,2024,24AF0055," ?96,499,998.82 "," ?96,492,160.98 ",9/23/2024,Anore Construction,,,1,3/8/2024,San Fernando City
Luzon,Region I,La Union,La Union (Second Legislative District),Naguilian (La Union),La Union 2nd District Engineering Office,P00824811LZ,Construction of Flood Mitigation Structure,2024,24AF0117," ?94,569,997.80 "," ?94,560,825.52 ",1/14/2025,Mg Samidan Construction,,,1,4/18/2024,San Fernando City
Luzon,Region I,La Union,La Union (Second Legislative District),Naguilian (La Union),La Union 2nd District Engineering Office,P00824812LZ,Construction of Flood Mitigation Structure,2024,24AF0126," ?82,410,999.95 "," ?82,403,230.11 ",3/16/2025,Unimax Steel Structure And Construction Corp.,,,1,4/18/2024,San Fernando City
Luzon,Region I,La Union,La Union (Second Legislative District),Naguilian (La Union),La Union 2nd District Engineering Office,P00824814LZ,Construction of Flood Mitigation Structure,2024,24AF0118," ?94,569,998.83 "," ?94,560,126.68 ",1/14/2025,Mg Samidan Construction,,,1,4/18/2024,San Fernando City
Luzon,Region I,La Union,La Union (Second Legislative District),Naguilian (La Union),La Union 2nd District Engineering Office,P00824816LZ,Construction of Flood Mitigation Structure,2024,24AF0119," ?94,569,998.71 "," ?94,560,926.77 ",1/16/2025,Mg Samidan Construction,,,1,4/18/2024,San Fernando City
Luzon,Region I,La Union,La Union (Second Legislative District),Naguilian (La Union),La Union 2nd District Engineering Office,P00824818LZ,Construction of Flood Mitigation Structure,2024,24AF0120," ?94,569,996.92 "," ?94,560,128.59 ",3/16/2025,Universal De Leon Construction And Aggregates,,,1,4/18/2024,San Fernando City
Luzon,Region I,La Union,La Union (Second Legislative District),Naguilian (La Union),La Union 2nd District Engineering Office,P00824820LZ,Construction of Flood Mitigation Structure,2024,24AF0121," ?94,569,998.62 "," ?94,561,136.19 ",3/16/2025,Universal De Leon Construction And Aggregates,,,1,4/18/2024,San Fernando City
Luzon,Region I,La Union,La Union (Second Legislative District),Naguilian (La Union),La Union 2nd District Engineering Office,P00824822LZ,Construction of Flood Mitigation Structure,2024,24AF0122," ?94,569,999.19 "," ?94,562,171.36 ",3/16/2025,Universal De Leon Construction And Aggregates,,,1,4/18/2024,San Fernando City
Luzon,Region I,La Union,La Union (Second Legislative District),Naguilian (La Union),La Union 2nd District Engineering Office,P00824824LZ,Construction of Flood Mitigation Structure,2024,24AF0123," ?94,569,998.62 "," ?94,560,506.31 ",3/16/2025,Unimax Steel Structure And Construction Corp.,,,1,4/18/2024,San Fernando City
Luzon,Region I,La Union,La Union (Second Legislative District),Naguilian (La Union),La Union 2nd District Engineering Office,P00824825LZ,Construction of Flood Mitigation Structure,2024,24AF0124," ?94,569,992.94 "," ?94,561,818.50 ",3/16/2025,Unimax Steel Structure And Construction Corp.,,,1,4/18/2024,San Fernando City
Luzon,Region I,La Union,La Union (Second Legislative District),Naguilian (La Union),La Union 2nd District Engineering Office,P00824826LZ,Construction of Flood Mitigation Structure,2024,24AF0125," ?94,569,997.62 "," ?94,560,757.31 ",3/16/2025,Unimax Steel Structure And Construction Corp.,,,1,4/18/2024,San Fernando City
Luzon,Region I,La Union,La Union (Second Legislative District),Naguilian (La Union),La Union 2nd District Engineering Office,P00823291LZ,Construction of Flood Mitigation Structure,2024,24A00441," ?115,800,000.00 "," ?115,799,749.50 ",11/11/2024,Rock-Wbl Construction Corp. (For: Rock-Wbl Construction Trading & Services),,,1,5/3/2024,San Fernando City
Luzon,Region I,La Union,La Union (Second Legislative District),Naguilian (La Union),La Union 2nd District Engineering Office,P00823293LZ,Construction of Flood Mitigation Structure,2024,24A00347," ?115,800,000.00 "," ?115,799,760.44 ",11/11/2024,Silverwolves Construction Corporation,,,1,5/3/2024,San Fernando City
Luzon,Region I,La Union,La Union (Second Legislative District),Naguilian (La Union),La Union 2nd District Engineering Office,P00823290LZ,Construction of Flood Mitigation Structure,2024,24A00440," ?115,800,000.00 "," ?115,799,805.58 ",11/11/2024,Mg Samidan Construction,,,1,5/13/2024,San Fernando City
Luzon,Region I,La Union,La Union (Second Legislative District),Naguilian (La Union),La Union 2nd District Engineering Office,P00823292LZ,Construction of Flood Mitigation Structure,2024,24A00442," ?115,800,000.00 "," ?115,799,720.80 ",8/19/2024,Mg Samidan Construction,,,1,5/13/2024,San Fernando City
Luzon,Region I,La Union,La Union (Second Legislative District),Bauang (La Union),La Union 2nd District Engineering Office,P00631074LZ,Construction of Flood Mitigation Structure,2022,22AF0003," ?34,299,997.97 "," ?33,522,947.40 ",8/15/2022,Villar General Construction And Supplies,,,1,2/16/2022,San Fernando City
Luzon,Region I,La Union,La Union (Second Legislative District),Bauang (La Union),La Union 2nd District Engineering Office,P00620950LZ,Construction of Flood Mitigation Structure,2022,22AF0005," ?45,569,965.75 "," ?44,202,866.82 ",8/15/2022,Villar General Construction And Supplies,,,1,2/17/2022,San Fernando City
Luzon,Region I,La Union,La Union (Second Legislative District),Bauang (La Union),La Union 2nd District Engineering Office,P00620949LZ,Construction of Flood Mitigation Structure,2022,22AF0009," ?45,591,559.23 "," ?44,792,502.50 ",7/28/2022,J.G. Garcia Construction & Supply (For: J.G. Garcia Const.),,,1,2/18/2022,San Fernando City
Luzon,Region I,La Union,La Union (Second Legislative District),Bauang (La Union),La Union 2nd District Engineering Office,P00631076LZ,Construction of Flood Mitigation Structure,2022,22AF0010," ?34,299,994.43 "," ?33,712,619.00 ",11/27/2023,J.G. Garcia Construction & Supply (For: J.G. Garcia Const.),,,1,2/18/2022,San Fernando City
